0a2012世界末日ahttp://www.cbooo.cn/m/405109a44745a灾难a32a68a美国a44745a"约翰·库萨克 John Cusack"
1a变形金刚2ahttp://www.cbooo.cn/m/393925a40364a科幻/动作a32a53a美国a40364a"梅根·福克斯 Megan Fox"
2a建国大业ahttp://www.cbooo.cn/m/566769a39288a剧情a32a54a中国/中国香港a39288a"张国立 Guoli Zhang"
3a赤壁(下)ahttp://www.cbooo.cn/m/555157a24353a战争a34a49a中国/中国香港a24353a梁朝伟 Tony Leung
4a三枪拍案惊奇ahttp://www.cbooo.cn/m/572844a22011a喜剧a33a49a中国a22011a孙红雷 Honglei Sun
5a十月围城ahttp://www.cbooo.cn/m/572813a21362a动作a34a61a中国/中国香港a21362a甄子丹 Donnie Yen
6a风声ahttp://www.cbooo.cn/m/559677a20510a惊悚a33a40a中国/中国香港a20510a周迅 Xun Zhou
7a南京！南京！ahttp://www.cbooo.cn/m/1037a15976a战争a30a39a中国/中国香港a15976a刘烨 Ye Liu
8a哈利·波特与混血王子ahttp://www.cbooo.cn/m/339973a15524a魔幻/动作a31a46a英国/美国a15524a"海伦娜·伯翰·卡特 Helena Bonham Carter"
9a冰川时代3ahttp://www.cbooo.cn/m/344562a15049a动画a44a61a美国a15049a"约翰·雷吉扎莫 John Leguizamo"
10a特种部队：眼镜蛇的崛起ahttp://www.cbooo.cn/m/334963a12692a动作a30a39a美国a12692a"布兰登·费舍 Brendan Fraser"
11a博物馆奇妙夜2ahttp://www.cbooo.cn/m/364344a11310a喜剧a29a31a美国a11310a本·斯蒂勒 Ben Stiller
12a终结者2018ahttp://www.cbooo.cn/m/391076a10957a科幻a30a30a美国/德国/英国a10957a"克里斯蒂安·贝尔 Christian Bale"
13a游龙戏凤ahttp://www.cbooo.cn/m/559593a10811a爱情a33a36a中国香港/中国a10811a"刘德华 Andy Lau"
14a疯狂的赛车ahttp://www.cbooo.cn/m/1363a10494a喜剧a30a37a中国a10494a"黄渤 Bo Huang"
15a大内密探灵灵狗ahttp://www.cbooo.cn/m/572856a10022a喜剧a29a42a中国香港/中国a10022a古天乐 Louis Koo
16a非常完美ahttp://www.cbooo.cn/m/297384a9194a爱情a31a31a韩国/中国a9194a"章子怡 Ziyi Zhang"
17a窃听风云ahttp://www.cbooo.cn/m/565870a8635a剧情a29a42a中国香港/中国a8635a古天乐 Louis Koo
18a花木兰ahttp://www.cbooo.cn/m/361561a8087a爱情a31a38a中国/美国a8087a"赵薇 Vicki Zhao"
19a喜羊羊与灰太狼之牛气冲天ahttp://www.cbooo.cn/m/565299a7960a动画a26a49a中国a7960a阿牛 Ah-Niu
20a飞屋环游记ahttp://www.cbooo.cn/m/396636a7907a动画a43a41a美国a7907a克里斯托弗·普卢默 Christopher Plummer
21a金刚狼ahttp://www.cbooo.cn/m/402709a7695a动作a30a25a美国a7695a"休·杰克曼 Hugh Jackman"
22a非诚勿扰ahttp://www.cbooo.cn/m/557894a7423a爱情a34a33a中国/中国香港a7423a葛优 You Ge
23a麦兜响当当ahttp://www.cbooo.cn/m/579746a7021a动画a28a41a中国香港/中国a7021a"黄渤 Bo Huang"
24a七龙珠ahttp://www.cbooo.cn/m/326513a6500a动作a29a23a美国a6500a"贾斯汀·查特文 Justin Chatwin"
